negatives
"frozenset({'KitReceptor', 'P09960', 'Q9UQL6'})"
"frozenset({'KitReceptor', 'Q9UMX0', 'P54105'})"
"frozenset({'KitReceptor', 'P49257', 'P35232'})"
"frozenset({'KitReceptor', 'O43683', 'Q96HF1'})"
"frozenset({'O60494', 'KitReceptor', 'P98164'})"
"frozenset({'Q9H4B7', 'P09874', 'KitReceptor'})"
"frozenset({'Q8NHZ8', 'KitReceptor', 'O95067'})"
"frozenset({'KitReceptor', 'P48507', 'P05412'})"
"frozenset({'Q9NVI1', 'KitReceptor', 'Q8N2Z9'})"
"frozenset({'Q92560', 'KitReceptor', 'Q12913'})"
